answer,ja_prompt,pos,aliases,hint,example
analyze,〜を分析する,verb,examine;study,an_____,Students analyze the passage before choosing the best answer.
compare,〜を比較する,verb,contrast,co_____,We compare two opinions in the essay.
contrast,〜を対比する,verb,compare,co______,The author contrasts city life with country life.
describe,〜を描写する・説明する,verb,explain,de______,The graph describes a change in population.
explain,〜を説明する,verb,describe;clarify,ex_____,The teacher explained the rule with a simple example.
define,〜を定義する,verb,explain,de____,The word is defined at the beginning of the article.
identify,〜を特定する・見分ける,verb,recognize,id______,Students must identify the main idea of the paragraph.
recognize,〜を認識する・気づく,verb,identify;notice,re_______,Many people recognize the need for clean energy.
indicate,〜を示す・指し示す,verb,show;suggest,in______,The data indicate that sleep affects memory.
suggest,〜を示唆する・提案する,verb,indicate;propose,su_____,The result suggests a strong connection between diet and health.
imply,〜を暗に意味する,verb,suggest,im___,His words imply that he disagrees with the plan.
infer,〜を推測する・推論する,verb,deduce,in___,We can infer her feelings from her expression.
conclude,〜と結論づける,verb,decide;infer,co______,The writer concludes that education should be free.
argue,〜と主張する・議論する,verb,claim;debate,ar___,The author argues that technology changes society.
claim,〜と主張する,verb,argue;state,cl___,Some researchers claim that exercise improves concentration.
state,〜を述べる,verb,say;mention,st___,The article states that water is becoming scarce.
mention,〜に言及する,verb,refer,me_____,The speaker mentioned several problems in the city.
refer,言及する・参照する,verb,mention,re___,Please refer to the chart on the next page.
emphasize,〜を強調する,verb,stress,em_______,The teacher emphasized the importance of review.
stress,〜を強調する,verb,emphasize,st____,The passage stresses the value of cooperation.
focus,焦点を合わせる・集中する,verb,concentrate,fo___,The lesson focuses on reading skills.
concentrate,集中する,verb,focus,co_________,It is difficult to concentrate in a noisy room.
observe,〜を観察する・気づく,verb,notice;watch,ob_____,Scientists observe changes in the environment.
notice,〜に気づく,verb,observe;realize,no____,I noticed a small mistake in the sentence.
realize,〜に気づく・実現する,verb,understand;notice,re_____,She realized that the answer was wrong.
understand,〜を理解する,verb,comprehend,un________,Students should understand the writer's purpose.
comprehend,〜を理解する,verb,understand,co________,It takes time to comprehend a difficult text.
interpret,〜を解釈する,verb,understand;explain,in_______,Readers may interpret the poem in different ways.
translate,〜を翻訳する,verb,render,tr_______,He translated the sentence into Japanese.
summarize,〜を要約する,verb,sum,su_______,Students summarize each paragraph in one sentence.
evaluate,〜を評価する,verb,assess;judge,ev______,We need to evaluate the advantages of the plan.
assess,〜を評価する・査定する,verb,evaluate,as____,The test assesses reading and listening skills.
estimate,〜を見積もる・推定する,verb,guess;calculate,es______,Experts estimate that the population will grow.
predict,〜を予測する,verb,forecast,pr_____,It is hard to predict the future of the economy.
forecast,〜を予測する,verb,predict,fo______,The report forecasts heavy rain tomorrow.
measure,〜を測定する,verb,gauge,me_____,Scientists measure the temperature of the water.
calculate,〜を計算する,verb,compute,ca_______,Students calculate the average score.
determine,〜を決定する・明らかにする,verb,decide;establish,de_______,Several factors determine a student's success.
establish,〜を確立する・設立する,verb,found;prove,es_______,The school established a new scholarship program.
prove,〜を証明する,verb,demonstrate;show,pr___,The experiment proved that the idea was correct.
demonstrate,〜を実証する・示す,verb,show;prove,de_________,The graph demonstrates a clear trend.
confirm,〜を確認する・裏づける,verb,verify,co_____,The results confirmed our first impression.
verify,〜を検証する・確認する,verb,confirm,ve____,The information must be verified before publication.
support,〜を支える・支持する,verb,back;help,su_____,Many facts support the author's argument.
oppose,〜に反対する,verb,resist,op____,Some residents opposed the construction plan.
